fips,county,state,date,cases,deaths,tot_pop,metro,poverty_percent,percent_nw,case_rate,death_rate,percent_nw_quint,percent_poverty_quint
09001,Fairfield,CT,2020-05-10,13236,1024,943332,NYC,10,38.50637951431734,1403.1115238325426,108.55139017864337,4,3
09005,Litchfield,CT,2020-05-10,1153,107,180333,NYC,6.9,11.982831761241702,639.3727160308985,59.334675295148415,1,1
09007,Middlesex,CT,2020-05-10,798,115,162436,NYC,6.7,16.3042675269029,491.27040803762713,70.79711394025955,2,1
09009,New Haven,CT,2020-05-10,9209,701,854757,NYC,11.6,37.786996772182036,1077.382226761524,82.01161265716455,4,3
34003,Bergen,NJ,2020-05-10,16929,1355,932202,NYC,6.8,44.55450642671867,1816.022707524764,145.35476216528176,4,1
34013,Essex,NJ,2020-05-10,15524,1423,798975,NYC,14.9,69.5489846365656,1942.9894552395258,178.10319471823274,5,4
34017,Hudson,NJ,2020-05-10,16822,969,672391,NYC,14.3,71.61725841065689,2501.818138553312,144.1125773545452,5,4
34019,Hunterdon,NJ,2020-05-10,714,45,124371,NYC,4.4,14.958471026203856,574.0888149166607,36.182068167016425,1,1
34021,Mercer,NJ,2020-05-10,5317,334,367430,NYC,10.9,51.53934082682415,1447.0783550608278,90.90166834499088,5,3
34023,Middlesex,NJ,2020-05-10,13937,793,825062,NYC,8.2,58.06339402372185,1689.206386913953,96.11398900931081,5,2
34025,Monmouth,NJ,2020-05-10,6894,443,618795,NYC,6.7,25.103305618177263,1114.100792669624,71.59075299574172,3,1
34027,Morris,NJ,2020-05-10,5854,516,491845,NYC,4.7,29.37978428163344,1190.21236365115,104.9111000416798,3,1
34029,Ocean,NJ,2020-05-10,7462,540,607186,NYC,9.7,15.430527054312845,1228.9479665209674,88.9348568642887,2,3
34031,Passaic,NJ,2020-05-10,14543,744,501826,NYC,13.6,59.36858592420481,2898.0164439467067,148.25855973983013,5,4
34035,Somerset,NJ,2020-05-10,4054,333,328934,NYC,4.9,44.849422680537735,1232.4660874217927,101.23611423568254,4,1
34037,Sussex,NJ,2020-05-10,1026,127,140488,NYC,5.2,14.2467684072661,730.3114856784921,90.39918000113889,1,1
34039,Union,NJ,2020-05-10,14057,867,556341,NYC,7.8,60.39784952034813,2526.687768832425,155.8396738690839,5,2
36005,Bronx,NY,2020-05-10,41059,3847,1418207,NYC,27.3,91.76149885030888,2895.134490240141,271.25800394441717,5,5
36027,Dutchess,NY,2020-05-10,3359,103,294218,NYC,9.2,28.771863040330643,1141.6704620383525,35.00805525154817,3,2
36047,Kings,NY,2020-05-10,49817,6003,2559903,NYC,18.9,64.14352418822119,1946.0502995621318,234.50107289221506,5,5
36055,Monroe,NY,2020-05-10,1821,134,741770,NYC,14.4,29.752079485554823,245.4938862450625,18.064898823085322,3,4
36059,Nassau,NY,2020-05-10,38217,1963,1356924,NYC,5.8,40.708691127874516,2816.4436622832227,144.6654344679584,4,1
36061,New York,NY,2020-05-10,23977,2455,1628706,NYC,15.6,53.016873517995265,1472.1502837221697,150.73315871618328,5,5
36071,Orange,NY,2020-05-10,9543,316,384940,NYC,11.5,36.16771444900504,2479.0876500233803,82.09071543617186,4,3
36079,Putnam,NY,2020-05-10,1089,56,98320,NYC,6,22.272172497965826,1107.6078112286411,56.956875508543526,2,1
36081,Queens,NY,2020-05-10,56862,5791,2253858,NYC,11.6,75.8057961060546,2522.874111856204,256.93721609790856,5,3
36085,Richmond,NY,2020-05-10,12702,820,476143,NYC,11.7,39.70781886954129,2667.6859682910385,172.21717005185417,4,3
36087,Rockland,NY,2020-05-10,12451,449,325789,NYC,13.9,37.15441589495041,3821.798771597568,137.81926338826662,4,4
36103,Suffolk,NY,2020-05-10,36702,1617,1476601,NYC,7.3,32.909431864125786,2485.573286216114,109.50825578473805,3,1
36111,Ulster,NY,2020-05-10,1450,53,177573,NYC,14.3,21.223947334335737,816.5655814791663,29.846879874755732,2,4
36119,Westchester,NY,2020-05-10,31294,1218,967506,NYC,8.3,46.917021703224584,3234.501904897748,125.89069215074636,4,2
42085,Mercer,PA,2020-05-10,73,2,109424,NYC,15.3,10.07365842959497,66.71296973241702,1.8277525954086853,1,5
42089,Monroe,PA,2020-05-10,1218,64,170271,NYC,12.3,34.784549336058404,715.3302676321863,37.58714049955659,3,4
42103,Pike,PA,2020-05-10,432,21,55809,NYC,10.3,20.25479761328818,774.0686985970004,37.62833951513197,2,3
42111,Somerset,PA,2020-05-10,32,1,73447,NYC,12,5.887238416817569,43.568831946846025,1.3615259983389383,1,4
42119,Union,PA,2020-05-10,40,1,44923,NYC,12.6,15.397457872359372,89.04124835830198,2.22603120895755,2,4
12011,Broward,FL,2020-05-10,5858,257,1952778,Mia,12.6,64.3469457357672,299.98289616126357,13.16073818938968,5,4
12061,Indian River,FL,2020-05-10,100,8,159923,Mia,10.7,24.419251764911863,62.530092607067154,5.0024074085653725,2,3
12085,Martin,FL,2020-05-10,255,6,161000,Mia,10.7,22.006211180124225,158.38509316770185,3.7267080745341614,2,3
12086,Miami-Dade,FL,2020-05-10,14007,487,2716940,Mia,16,88.40051675782314,515.5432214182131,17.924576913733834,5,5
12099,Palm Beach,FL,2020-05-10,3870,237,1496770,Mia,12.2,45.58516004462943,258.556758887471,15.83409608690714,4,4
12111,St. Lucie,FL,2020-05-10,282,25,328297,Mia,12.1,42.367734094432784,85.89783031827886,7.6150558792800425,4,4
17031,Cook,IL,2020-05-10,52655,2317,5150233,Chi,13.8,58.257927359791296,1022.3809291734956,44.98825587114214,5,4
17037,DeKalb,IL,2020-05-10,177,2,104897,Chi,13.1,23.57360077027942,168.73695148574316,1.906632220177889,2,4
17043,DuPage,IL,2020-05-10,4603,248,922921,Chi,6.6,33.85804418796408,498.74257926734794,26.871205661156267,3,1
17063,Grundy,IL,2020-05-10,58,1,51054,Chi,5.9,13.83633016022251,113.60520233478279,1.9587103850824619,1,1
17079,Jasper,IL,2020-05-10,46,6,9610,Chi,10.2,3.0385015608740895,478.6680541103018,62.43496357960458,1,3
17089,Kane,IL,2020-05-10,3003,89,532403,Chi,8.6,43.38912440388202,564.0464084537465,16.71666012400381,4,2
17091,Kankakee,IL,2020-05-10,540,30,109862,Chi,16.2,28.184449582203126,491.5257322823178,27.306985126795432,3,5
17093,Kendall,IL,2020-05-10,421,12,128990,Chi,4.2,31.329560431041166,326.3818900689976,9.303046747809907,3,1
